date,000905.SH_动量_20日
2005-02-01,-7.457086491706077
2005-02-02,-3.924741414441335
2005-02-03,-4.955082219395834
2005-02-04,-3.5663378127236633
2005-02-16,-3.3785898759560617
2005-02-17,-3.0813919469862894
2005-02-18,-4.34762348555452
2005-02-21,-3.0847819005596966
2005-02-22,0.7517729503713877
2005-02-23,4.2695714265254425
2005-02-24,3.3312857631334403
2005-02-25,3.8405420176204297
2005-02-28,4.975407804718546
2005-03-01,3.302212704055263
2005-03-02,-0.20105636422247386
2005-03-03,1.1740247890807298
2005-03-04,1.5440986684616131
2005-03-07,3.6628565957670167
2005-03-08,8.089347793446766
2005-03-09,11.910978450186583
2005-03-10,10.09644915151242
2005-03-11,4.686681676714266
2005-03-14,6.606707626688335
2005-03-15,3.305828936371924
2005-03-16,1.1908422697069154
2005-03-17,-0.6452655964767295
2005-03-18,-1.581725780990062
2005-03-21,-3.2863491132275824
2005-03-22,-8.447455958590355
2005-03-23,-9.424895365059694
2005-03-24,-8.892513612235287
2005-03-25,-9.051788954007245
2005-03-28,-9.59242668098158
2005-03-29,-10.218848723317164
2005-03-30,-11.648286335608681
2005-03-31,-11.393391397900498
2005-04-01,-7.542189571475566
2005-04-04,-9.641264289395824
2005-04-05,-12.405860565327165
2005-04-06,-11.039949639242641
2005-04-07,-7.280827809794688
2005-04-08,-5.941646506854337
2005-04-11,-5.880035643194947
2005-04-12,-6.683329459435261
2005-04-13,-3.423767882624129
2005-04-14,-3.6603753375504477
2005-04-15,-3.81649884308628
2005-04-18,-5.10082112320217
2005-04-19,-2.143916302825599
2005-04-20,-4.236487672146916
2005-04-21,-7.073360711503874
2005-04-22,-7.946601790605079
2005-04-25,-8.870187437088472
2005-04-26,-6.715778933716987
2005-04-27,-5.511677272824422
2005-04-28,-3.956396166362375
2005-04-29,-8.617901430225572
2005-05-09,-10.053194412388589
2005-05-10,-9.277134086836181
2005-05-11,-11.64729026070238
2005-05-12,-13.388242183854903
2005-05-13,-14.17431226479977
2005-05-16,-14.795642424057121
2005-05-17,-11.748309809038071
2005-05-18,-13.216393101031432
2005-05-19,-11.811208808830198
2005-05-20,-10.308112268976021
2005-05-23,-11.91786203360714
2005-05-24,-10.416876664986674
2005-05-25,-8.413915887987889
2005-05-26,-7.875221369539553
2005-05-27,-7.744684225933951
2005-05-30,-5.175148443983646
2005-05-31,-6.824750947102576
2005-06-01,-7.295646304019387
2005-06-02,-10.59647973079747
2005-06-03,-9.63224875562021
2005-06-06,-4.910685374737744
2005-06-07,-4.6748027107108125
2005-06-08,3.6706630358440906
2005-06-09,5.227799036544445
2005-06-10,2.0526999133612556
2005-06-13,3.2271635582073577
2005-06-14,-0.03225589678113039
2005-06-15,-3.4418530200341246
2005-06-16,-2.545033578199629
2005-06-17,-2.31867957467069
2005-06-20,3.7807852603675807
2005-06-21,0.9216772200810297
2005-06-22,1.10535175503923
2005-06-23,1.291951180440143
2005-06-24,2.8072131661521116
2005-06-27,4.615990330168573
2005-06-28,2.7826300836270024
2005-06-29,4.545040087430796
2005-06-30,2.8698202934414274
2005-07-01,-0.7330603015534676
2005-07-04,-3.6914200537130237
2005-07-05,-4.520006565415646
2005-07-06,-11.637824474660086
2005-07-07,-12.040012945364676
2005-07-08,-13.077242200323468
2005-07-11,-14.357412388582825
2005-07-12,-9.613525448214421
2005-07-13,-8.014593223319022
2005-07-14,-8.881328946631928
2005-07-15,-10.704291890013817
2005-07-18,-15.403656281829182
2005-07-19,-13.860746854007056
2005-07-20,-13.602199727110708
2005-07-21,-12.918933411750455
2005-07-22,-11.283529450825924
2005-07-25,-13.84066082896065
2005-07-26,-10.156328215997645
2005-07-27,-7.867808919200458
2005-07-28,-5.593416062119861
2005-07-29,-2.042080510079536
